AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
APM,,A,P,DoN Acquisition Professional Member,M,Fully Qualified,Officer who has obtained DoN Acquisition Professional Membership.,,,,ALL,,,,,,,,,,,,,,,,,,,O4 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,,,,,,,,,,,,,,
AT1,,A,T,Test & Evaluation,1,Level 1 Functional Area Certified,Received Acquisition Foundational Certification in Test & Evaluation.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS - 4,,,,,,,,,,,,,
AT2,,A,T,Test & Evaluation,2,Level 2 Functional Area Certified,"Received Acquisition Practitioner Certification in Test & Evaluation.
Supersedes AT1 Qualification.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS - 4,,,,,,,,,,,,,
ATC,,A,T,Test & Evaluation,C,Critical Acquisition Billet,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ATC require an officer who is eligible to receive the ATC code upon assignment.

The officer will be required to earn the AT2 code within 60 months of assignment.
",There may be exceptions in which an officer may be detailed to an ATC billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition Billet and requires a minimum 3-year tenure agreement,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ATK,,A,T,Test & Evaluation,K,Key Leadership Position (KLP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assistant Secretary of the Navy (Research, Development, and Acquisition) and/or Director, Acquisition Talent Management (DATM) approval is required prior to:

(a) The assignment of ATK to any billet 

AND

(b) The assignment of any individual to a billet coded ATK.
",Billets coded with ATK require an officer who is eligible to receive the ATK code upon assignment.,There may be exceptions in which an officer may be detailed to an ATK billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition/Key Leadership Billet and requires a minimum 3 year tenure agreement.,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O5 TO O9,,,Active Only,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ATN,,A,T,Test & Evaluation,N,Non-Critical Acquisition Billet,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ATN require an officer who is eligible to receive the ATN code upon assignment.
The AT1 code must be obtained within 36 months of assignment, 
OR
If AT2 is required, it must be earned within 60 months of assignment.
",There may be exceptions in which an officer may be detailed to an ATN billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
A2E,,A,2,Major Program Manager,E,Eligible,"Been selected for the Aviation Acquisition Corps Unrestricted Line Major Program Manager Career Path, NAVADMIN 165/09 refers.",,,,1310,1320,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERS - 43,,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
A31,,A,3,Acquisition Line Community,1,Flag Eligible,"(a) Serving or have served as an acquisition Major Program Manager.
OR
(b) Serving or have served as a shipyard commander.
OR
(c) Serving or have served as a Regional Maintenance Commanding Officer.
OR 
(d) Serving or have served as a Supervisor of Shipbuilding Commanding officer
OR
(e) Serving or have served as a Warfare Center Commanding Officer.
OR 
(f) engineering Duty Officer that possesses SP7 AQD.
OR
(g) Information Warfare Line Community officer that possesses APM AQD.",,,,11XX,13XX,144X,150X,,,,,,,,,,,,,,,,O6 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNO N00F,,,,,DATM,,,,,,,,,,,,,,,
NAVAL WARFARE (GENERAL),These AQD codes are assigned to officers by PERS-4 and assigned to billets by N12.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA1,,B,A,ASW Qualified,1,Qualified Non-Towed Array,"(a) Completed a tour in a CIC, ASW, SONAR, C/S, OPS officer billets on a non-towed array platform.
OR
(b) Pilot/ NFO who has completed an operational tour in an ASW squadron.
",AQD only awarded to Designator 6320 and 7321 after the completion of CVN ASW officer 12 month tour.,,,111X,112X,130X,131X,132X,632X,732X,744X,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BA1 require an officer who has previously been awarded the BA1 code prior to reporting to ultimate duty assignment.,,,,1000,1050,1110,1120,130X,131X,132X,7440,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,,
BA2,,B,A,ASW Qualified,2,Qualified Towed Array,"Completed a tour in a CIC, ASW, SONAR, C/S, OPS officer billets on a towed array platform.",,,,111X,112X,130X,131X,132X,744X,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BA2 require an officer who has previously been awarded the BA2 code prior to reporting to ultimate duty assignment.,,,,1050,1110,1120,7440,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,,
BA3,,B,A,ASW Qualified,3,Key Manager,Completed a tour in an ASW Key Manager billet on any towed array platform.,,,,111X,112X,130X,131X,132X,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,Billets coded with BA3 require an officer who has previously been awarded the BA1 or BA2 code prior to reporting to ultimate duty assignment.,,,,1110,1120,1300,1301,1302,1310,1311,1312,1320,1321,1322,7440,,,,,,,,,,,,,,O4 TO O6,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,,
BA4,,B,A,ASW Qualified,4,IUSS,Qualified as an Integrated Undersea Surveillance System (IUSS) specialist IAW OPNAVINST 1020.5 series.,,,,Any URL/,RL/,LDO/,CWO,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BA4 require an officer who has previously been awarded the BA4 code prior to reporting to ultimate duty assignment.,,,,Any URL/,RL/,LDO/,CWO,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,,
BA5,,B,A,ASW Qualified,5,IUSS Experienced,"(a) Been previously awarded AQD BA4.
AND
(b) Completed 48 months of system experience (as an officer).
",,,,Any URL/,RL/,LDO/,CWO,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BA5 require an officer who has previously been awarded the BA5 code prior to reporting to ultimate duty assignment.,,,,Any URL/,RL/,LDO/,CWO,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,,
BA6,,B,A,ASW Qualified,6,Theater Anti-Submarine Warfare Watch Officer (TASWWO),Qualified Theater Anti-Submarine Warfare Watch Officer (TASWWO).,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,Billets coded with BA6 require an officer who has previously been awarded the BA6 code prior to reporting to ultimate duty assignment.,,,,1050,1110,1120,1300,1301,1302,1320,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,CTF-12,,,,,CNSF,CPF,,,,,,,,,,,,,,
BA7,,B,A,ASW Qualified,7,Theater Anti-Submarine Warfare Battle Watch Captain (TASW BWC),Qualified Theater Anti-Submarine Warfare Battle Watch Captain (TASWBWC).,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BA7 require an officer who has previously been awarded the BA7 code prior to reporting to ultimate duty assignment.,,,,1050,1110,1120,1300,1301,1302,1320,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,CTF-12,,,,,CNSF,CPF,,,,,,,,,,,,,,
BA8,,B,A,ASW Qualified,8,Undersea Combat Systems Qualified,"(a) One tour relating to Undersea Warfare Combat Systems.
AND
(b) Graduated from NPGS curriculum Combat Systems Sciences and Technology with a concentration in Underwater Acoustic Systems.
",,,,111X,112X,130X,144X,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with BA8 require an officer who has previously been awarded the BA8 code prior to reporting to ultimate duty assignment.,,,,1000,1050,1110,1120,1300,1440,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,NAVSEA PEO IWS,,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
BA9,,B,A,ASW Qualified,9,IUSS SURTASS Mission Commander,"(a)  Been awarded the BA4 AQD.
AND
(b) Completed at least 12 months serving as a qualified SMC on one or more SURTASS vessels.
",,,,Any URL/,RL/,LDO/,CWO,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active,Billets coded with BA9 require an officer that has been awarded the BA9 code prior to reporting to ultimate duty station.,,,,Any URL/,RL/,LDO/,CWO,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active,BUPERS-31,,,,,OPNAV N974B,PERS-4,,,,,,,,,,,,,,
BAA,,B,A,ASW Qualified,A,Acoustic Watch Officer,"Been awarded the BA4 AQD
AND
Completed at least 12 months serving as a qualified Acoustic Watch Officer (AWO) watch station on one or more IUSS fixed watch floors.",,,,728X,,,,,,,,,,,,,,,,,,,W2 TO W5,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMSUBPACFLT,,,,,COMUNDERSEASURV,,,,,,,,,,,,,,,
BAB,,B,A,ASW Qualified,B,IUSS Master,"Been awarded the BA4 AQD
AND
Been awarded the BA9 (SMC) AQD
AND
Been awarded the BAA (AWO) AQD
AND
Officially designated as an IUSS USL04 Assessor by Commander, Undersea Surveillance, Theater Undersea Surveillance Command, Atlantic Commanding Officer, Theater Undersea Surveillance Command, Pacific Commanding Officer or other delegated authority
AND
Completed 60 months of system experience (as an officer).",,,,728X,,,,,,,,,,,,,,,,,,,W3 TO W5,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMSUBPACFLT,,,,,COMUNDERSEASURV,,,,,,,,,,,,,,,
BB0,,B,B,Staff Officer,0,Battle Watch Captain,"(a) Been designated as a Battle Watch Captain IAW current instructions but does not qualify for another Battle Watch Captain AQD (BB1-BB7, BBF, or BBP.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BB1,,B,B,Staff Officer,1,Battle Watch Captain – C10F,"(a) Been designated as a C10F Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BB2,,B,B,Staff Officer,2,Battle Watch Captain – C2F,"(a) Been designated as a C2F Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BB3,,B,B,Staff Officer,3,Battle Watch Captain – C3F,"(a) Been designated as a C3F Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BB4,,B,B,Staff Officer,4,Battle Watch Captain – C4F,"(a) Been designated as a C4F Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BB5,,B,B,Staff Officer,5,Battle Watch Captain – C5F,"(a) Been designated as a C5F Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BB6,,B,B,Staff Officer,6,Battle Watch Captain – C6F,"(a) Been designated as a C5F Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BB7,,B,B,Staff Officer,7,Battle Watch Captain – C7F,"(a) Been designated as a C7F Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BBF,,B,B,Staff Officer,F,Battle Watch Captain – USFF,"(a) Been designated as a USFF Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BBP,,B,B,Staff Officer,P,Battle Watch Captain – CPF,"(a) Been designated as a CPF Battle Watch Captain IAW current instructions.
AND
(b)  Successfully completed at least three months as a qualified Battle Watch Captain.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N96,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,,,,,
BBZ,,B,B,Staff Officer,Z,Maritime,Completed the Maritime Staff Officer (MSO) Job Qualification Requirements  (JQR),,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVAL WAR COLLEGE (CODE 1),,,,,USFF (N1),,,,,,,,,,,,,,,
BC8,,B,C,Naval Aviation Supply Officer,8,Qualified,Qualified as a Naval Aviation Supply Corps Officer IAW current fleet instructions and OPNAVINST 1542.5 (series).,,,,310X,651X,,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N98,BUPERS - 311,BUPERS -315,,,COMNAVAIRFOR N41,,,,,,,,,,,,,,,
BD1,,B,D,Naval Aviation Observer,1,Qualified,"Qualified as a Naval Aviation Observer IAW MILPERSMAN 1210-240, 1210-250 or 1210-260.",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N98,BUPERS - 311,BUPERS -315,,,OPNAV N2/N6,,,,,,,,,,,,,,,
BE1,,B,E,Anti-Air Warfare,1,Qualified,"(a) One operational tour in a VFA squadron for pilots and NFOs or a VAW squadron for NFOs; 
OR
(b) An AAW or missile functional training school of at least 3 weeks’ duration.
AND
(c) Completed 1-year tour as Fire Control, Missile, CIC, Assistant CIC, Weapons, or Operations Officer aboard a surface missile ship.
",,,,11XX,131X,132X,612X,616X,618X,712X,716X,718X,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BE1 require an officer that has been awarded the BE1 code prior to reporting to ultimate duty station.,,,,1000,1050,1110,1310,1320,6120,7120,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active,OPNAV N96,OPNAV N98,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
BF1,,B,F,"Anti-Air Warfare
(Supersedes BE)
",1,Technical Expert,"(a) Been previously awarded AQD BE1.
AND
(b) Completed postgraduate education in a curriculum which contributes to technical knowledge in the field of AAW (e.g., postgraduate education in the 360, 530, and 531 curricula).
AND
(c) Completed a second operational tour in an AAW related billet.
",,,,111X,131X,132X,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BF1 require an officer that has been awarded the BE1 code prior to reporting to ultimate duty station.,,,,1000,1050,1110,1310,1320,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active,OPNAV N96,OPNAV N98,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
BG1,,B,G,"Anti-Air Warfare
(Supersedes BE)
",1,Operational Expert,"(a) Been previously awarded AQD BE1.
AND
(b) Completed a second operational tour in an AAW related billet.
AND
(c) Completed a staff/shore tour in AAW related billet.
",,,,111X,131X,132X,612X,712X,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BG1 require an officer that has been awarded the BE1 code prior to reporting to ultimate duty station.,,,,1000,1050,1110,1310,1320,6120,7120,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active,OPNAV N96,OPNAV N98,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
BH0,,B,H,Military Deception,0,Planner,"(a) Completed a service or joint planning course. 
AND
(b) Completed an operational tour that included preparing plans and supervision of executing military deception operations and operations security planning.
",,,,111X,114X,131X,132X,18XX,612X,68XX,712X,78XX,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with BH0 require an officer that has been awarded the BH0 code prior to reporting to ultimate duty station.,,,,1000,1020,1050,1110,1140,1310,1320,18X0,6120,7120,,,,,,,,,,,,,,,,W2 TO O6,,,Active,OPNAV N96,OPNAV N98,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
BIA,,B,I,Cryptologic Warfare (CW),A,Tactical Airborne,Completed an Airborne tour (in a flying status) with 300 operational hours (includes training flights).,Verification that member has met the above prerequisites must be approved via Command Endorsement Letter signed by the member’s Commanding Officer or his/her representative.,,,181X,681X,781X,,,,,,,,,,,,,,,,,W2 TO O4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVIFOR,,,,,BUPERS - 311,BUPERS -315,PERS-47,,,,,,,,,,,,,
BIS,,B,I,Cryptologic Warfare (CW),S,Tactical Surface,"(a) Completed a PCS AFLOAT tour.
OR
(b) Completed a Direct Support Surface tour with 210 days deployed (includes training rides).
",Verification that member has met the above prerequisites must be approved via Command Endorsement Letter signed by the member’s Commanding Officer or his/her representative.,,,181X,681X,781X,,,,,,,,,,,,,,,,,W2 TO O4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVIFOR,,,,,BUPERS - 311,BUPERS -315,PERS-47,,,,,,,,,,,,,
BIU,,B,I,Cryptologic Warfare (CW),U,Tactical Subsurface,Completed a Direct Support Subsurface tour with 210 days deployed (includes training rides).,Verification that member has met the above prerequisites must be approved via Command Endorsement Letter signed by the member’s Commanding Officer or his/her representative.,,,181X,681X,781X,,,,,,,,,,,,,,,,,W2 TO O4,,Indefinite,Active and Reserve,Billets coded with BIU requires an officer who has previously been awarded the BIU code prior to reporting to ultimate duty assignment.,,,,1810,6810,7810,,,,,,,,,,,,,,,,,,,,,,,W2 TO O4,,,Active and Reserve,NAVIFOR,,,,,BUPERS - 311,BUPERS -315,PERS-47,,,,,,,,,,,,,
BIW,,B,I,Cryptologic Warfare (CW),W,Tactical Naval Special Warfare Support,Completed a Naval Special Warfare support tour for 15 months.,Verification that member has met the above prerequisites must be approved via Command Endorsement Letter signed by the member’s Commanding Officer or his/her representative.,,,181X,681X,781X,,,,,,,,,,,,,,,,,W2 TO O4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVIFOR,,,,,BUPERS - 311,BUPERS -315,PERS-47,,,,,,,,,,,,,
BI1,,B,I,Cryptologic Warfare (CW),1,Basic,Completed the CW Basic PQS.,,,,181X,681X,781X,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,Billets coded with BI1 require an officer who has previously been awarded the BI1 code prior to reporting to ultimate duty assignment.,"Billets coded for BI1 must also be accompanied by one of the following NOBCs: 9805, 9811, 9816, or 9820.",,,1810,6810,7810,,,,,,,,,,,,,,,,,,,,,,,W2 TO O3,,,,NAVIFOR,,,,,BUPERS - 311,BUPERS -315,PERS-47,,,,,,,,,,,,,
BI3,,B,I,Crytologic Warfare (IW),3,"IO Coordinator/
Planner
",Completed a tour in an Cyrtologic Warfare Officer Coordinator or Planner billet.,,,,181X,681X,781X,,,,,,,,,,,,,,,,,W2 to W5,O4 TO O6,Indefinite,Active and Reserve,Billets coded with BI3 require an officer who has previously been awarded the BI3 code prior to reporting to ultimate duty assignment.,,,,1810,6810,7810,,,,,,,,,,,,,,,,,,,,,,,W2-W5,O4-O8,,Active and Reserve,NAVIFOR,,,,,BUPERS - 311,BUPERS -315,PERS-47,,,,,,,,,,,,,
BI4,,B,I,Information Warfare (IW),4,NIOC Operations Director,"Completed a Director of IO/IW/CYBER tour at a major joint staff.
",,,,181X,182X,183X,186X,,,,,,,,,,,,,,,,O5 TO O8,,Indefinite,Active and Reserve,Billets coded with BI4 require an officer who has previously been awarded the BI4 code prior to reporting to ultimate duty assignment.,This coding is for billets designated as O5 or above only.,,,1810,1820,1830,1860,,,,,,,,,,,,,,,,,,,,,,O5 TO O8,,,Active and Reserve,NAVIFOR,,,,,BUPERS - 311,BUPERS -315,PERS-47,,,,,,,,,,,,,
BK1,,B,K,Reserve Program Director (RPD),1,Qualified,"(a)  Successfully completed the Reserve Program Director (RPD) Course (CIN: R-7A-0020).
AND
(b)  Completion of at least 18 months in a qualifying RPD billet or Assistant RPD billet.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O10,,Indefinite,Active and Reserve,Billets coded with BK1 require an officer who has previously been awarded the BK1 code prior to reporting to ultimate duty assignment.,There may be exceptions in which an officer may be detailed to a BK1 billet without having first been awarded the BK1 code. The authority resides with NAVRESFOR (N31).,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O10,,,Active and Reserve,NAVRESFOR (N31),,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
BL1,,B,L,Electromagnetic Warfare,1,Apprentice,"(a) Completed one of the following courses of instruction:
   (1) Surface Electronic Warfare Officer (J-2G-0210).
OR
   (2) Aviation Electronic Warfare School (E-233-6108).
OR
   (4) CWOBC Basic course (A-3B-0027).
OR
   (5) Submarine Officer Basic course (A-2E-0044). 
AND
(b) Completed BL1 (Apprentice) PQS for EW.
AND
(c) Completed a tour in an operational EW related position. Minimum tour length of 12 months.",,,,11XX,112X,116X,117X,131X,132X,181X,182X,612X,632X,681X,682X,712X,781X,782X,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N2N6,OPNAV N96,,,,OPNAV N97,OPNAV N98,,,,,,,,,,,,,,
BL2,,B,L,Electromagnetic Warfare,2,Journeyman,"(a) Completed one of the following recommended courses of instruction:
   (1) Surface Electronic Warfare and Cyber Awareness course (SEWCAC) (A-2G-5803).
OR
   2) Cryptologic Resource Coordinator (CRC) course (A-3B-0011).
OR
   3) Staff Tactical Watch Officer (STWO) course (K-2G-0128).
OR
   (4) Maritime Staff Planners Course (MSPC) (K-2G-3009).
AND
(b) Completed BL2 (Journeyman) PQS for EW.
AND
(c) Completed a tour in a qualified billet. Minimum tour length of 12 months.",,,,11XX,112X,131X,132X,181X,612X,632X,681X,682X,781X,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N2N6,,,,,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,,
BL3,,B,L,Electronic Warfare,3,Expert,"(a) Been previously awarded AQD BL2.
AND
(b) Completed a tour in a key EW Senior Service, Joint, or OSD leadership billet. Minimum tour length of 12 months.
",Includes OPNAV/TYCOM/HQ Staff EW billets.,,,11XX,112X,131X,132X,181X,612X,632X,681X,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N2N6,OPNAV N96,,,,OPNAV N97,OPNAV N98,,,,,,,,,,,,,,
